method,N,M,price_near_K,reference_price_near_K,pointwise_error_near_K,max_absolute_error,mean_absolute_error,rmse,runtime_seconds
Explicit,200,10000,5.884341729200822,5.88681460225379,0.002472873052967728,0.0032050211587133504,0.00028514759856847075,0.0007774126289691309,4.259769500000402
Implicit,200,10000,5.883967830810268,5.88681460225379,0.0028467714435223,0.0035814726853331535,0.00032960326082852754,0.0008888180075931905,0.1957204999634996
Rannacher,200,10000,5.884154042327989,5.88681460225379,0.0026605599258013868,0.003393831748120135,0.0003074234627733597,0.0008332039902412523,0.2541232919902541
