method,N,M,dt,price_near_K,min_value,max_value,runtime_seconds,stable,oscillations,grid_points_estimated,time_steps,linear_systems_solved,operator_evaluations
Explicit,50,500,0.002,5.2727861343574896,0.0,100.0,0.052296790992841125,True,No,51,500,0,500
Implicit,50,500,0.002,5.266956650807077,0.0,100.0,0.008180165896192193,True,No,51,500,500,0
Rannacher,50,500,0.002,5.269849301808501,0.0,100.0,0.010563832940533757,True,No,51,500,500,498
