experiment,N,M,dt,price_near_K,min_value,max_value,runtime_seconds,stable
Explicit unstable,75,50,0.02,6.071480582400706,0.0,100.0,0.007686916971579194,True
Explicit stable,80,4000,0.00025,5.57595114360131,0.0,100.0,0.649187000002712,True
Implicit stable,75,50,0.02,6.002424122549822,0.0,100.0,0.0023039999650791287,True
Rannacher stable,75,50,0.02,6.032262014591403,0.0,100.0,0.001140541979111731,True
